排行,片名,本週票房,累計票房,上週,周數, 
1,芙莉歐莎：瘋狂麥斯傳奇篇章 Furiosa,,,,,
 ,35.66%,$541,$743,－,1, 
2,猩球崛起: 王國誕生 Kingdom of the Planet of the Apes,,,,,
 ,11.44%,$173,"$1,710",1,3, 
3,九龍城寨之圍城 Twilight of the Warriors: Walled In,,,,,
 ,10.79%,$163,$571,3,2, 
4,排球少年!! 垃圾場的決戰 Haikyu!! The Movie: Decisive Battle at the Garbage,,,,,
 ,8.65%,$131,"$5,980",2,7, 
5,鬼舞村：詛咒起源 KKN: Badarawuhi Di Desa Penari,,,,,
 ,3.91%,$59,$59,－,1, 
6,幻幻之交 Imaginary Friends,,,,,
 ,3.90%,$59,$211,4,2, 
7,藍色恐懼4K數位修復版 Perfect Blue,,,,,
 ,3.86%,$58,$787,6,2, 
8,特技玩家 The Fall Guy,,,,,
 ,2.76%,$41,"$1,384",5,5, 
9,假面騎士555 20th 復活的天堂 Masked Rider 555 20th PARADISE REGAINED,,,,,
 ,2.20%,$33,$33,－,1, 
10,劇場版IDOLiSH7-偶像星願 LIVE 4bit BEYOND THE PERiOD＜DAY 2＞,,,,,
 ,1.72%,$26,$307,16,36, 
11,犯罪都市4 The Roundup: Punishment,,,,,
 ,1.46%,$22,$735,8,5, 
12,帝國浩劫: 美國內戰 Civil War,,,,,
 ,1.36%,$20,$660,7,4, 
13,刀劍亂舞 迴 虛傳 燃燒的本能寺 TOUKEN RANBU KAI,,,,,
 ,-,$11,$22,20,1, 
14,再見機器人 Robot Dreams,,,,,
 ,-,$10,$816,22,14, 
15,機動戰士鋼彈 SEED FREEDOM Mobile Suit Gundam Seed Freedom,,,,,
 ,-,$10,$784,11,6, 
16,我在這裡等你 A Balloon's Landing,,,,,
 ,-,$10,$178,9,3, 
17,八戒：決戰未來 Pigsy,,,,,
 ,-,$9.19,$14,33,1, 
18,愛情本性論 The Nature of Love,,,,,
 ,-,$7.63,$7.63,－,1, 
19,破墓 Exhuma,,,,,
 ,-,$6.50,"$2,775",17,12, 
20,哥吉拉與金剛:新帝國 Godzilla x Kong: The New Empire,,,,,
 ,-,$6.45,"$4,852",15,9, 
