Name,Price
台中東旅 (Hotel East Taichung),"1,452"
MINI HOTELS - 逢甲館 (MINI HOTELS (Feng Jia Branch)),"1,211"
曼特先生 (Mr.Mantter),720
通豪大飯店 (T Hotel),571
暮雲商旅 (Autumn Willow Hotel),970
三好行旅 (Sun Hao Hotel.Taichung),"1,583"
楓華沐月台灣大道行館 (Hotel Maple Taiwan Boulevard),"慢了一步 NT$ 2,091"
長榮桂冠酒店 - 台中 (Evergreen Laurel Hotel Taichung),"2,268"
永豐棧酒店 (Tempus Hotel),"1,855"
凝萃文旅台中車站店 NCH - NingCui Business Hotel,588
草悟道文旅 (Calligraphy Greenway Hotel),806
一中宿喜 (Adagio Hostel),570
台中鳳凰酒店 (Phoenix Hotel Taichung),"2,251"
林酒店 (The Lin Hotel),"4,474"
春樹商旅 (Spring's Rhapsody Hotel),989
中科大飯店 (Zhong Ke Hotel),"1,716"
高苑商務旅館中山店 (Kao Yuan Hotel - Zhong Shan),"慢了一步 NT$ 2,068"
赫絲珀HSR高鐵行旅 (Hotel Hesper HSR - Taichung),"1,109"
由扉寓所-逢甲舘 (Hotel Euphemia),994
台中福華大飯店 (Howard Prince Hotel Taichung),"1,792"
MINI HOTELS - 台中火車站館 (MINI HOTELS (Taichung Station Branch)),"1,150"
台中日月千禧酒店 (Millennium Hotel Taichung),"5,627"
漂鳥草悟道 (Stray Birds Taichung Hostel),"1,101"
愛麗絲國際大飯店 (Aeris International Hotel),"1,314"
台中大毅老爺行旅 (The Place Taichung),"2,512"
宿嘻 (Chill Stay),833
ZHAN HOUSE,"慢了一步 NT$ 3,013"
全國大飯店 (Hotel National),"2,609"
麻雀巢行旅 (Sparrow Hotel),705
余舍行旅 (Royal Roi Hotel),"1,445"
想想旅居 (Allegro Hostel),447
雙星大飯店 (Twinstar Hotel),733
台中逢甲文華道 (Taichung Fengjia In One City Inn),"1,397"
台中金典酒店 (Splendor Hotel),"2,417"
卡爾登飯店台中館 (The Carlton (Taichung)),"1,524"
新藍天旅棧 (BlueSky Hotel),"1,141"
市政川寓 (Taichung Walker),甚麼都沒有
一中漫走民宿旅店 (Taichung Easylazy Inn),"1,142"
薆悅酒店台中館 (Inhouse Hotel Taichung),"1,213"
探索私旅 (Explore Hotel),"1,543"
台中博客創意旅店 (Taichung Box Design Hotel),777
唯二設計文旅 (We2 Hotel ),"1,220"
金典綠園道商旅 (Park Lane Inn),"1,596"
雀客旅館台中青海 (CHECK inn Taichung Qinghai),"1,197"
台中裕元花園酒店 (Windsor Hotel),"3,380"
植光花園飯店 (SOF Hotel),"1,485"
成旅晶贊飯店 - 台中民權 (Park City Hotel Central Taichung),"1,444"
宿野行旅 (suye hotel),"1,015"
奇異果快捷旅店 - 站前二館 (Kiwi Express Hotel – Taichung Station Branch II),597
宜舍單人旅店 (Ease Single Inn),"1,040"
巧合大飯店 (Chance Hotel),676
熊愛睏逢甲住宿 FJ Bear house (FJBear House),504
Marshal Hotel Taichung名帥大飯店,"慢了一步 NT$ 1,818"
嬉行旅 (Hotel Si),"1,490"
豐原綠自住民宿 (Fengyuan green Self B&B),"1,143"
圖樂文旅 (Whoops Hotel),"1,188"
承億文旅 台中鳥日子 (Hotelday Taichung),"1,434"
富王大飯店 (Fulwon Hotel),"1,484"
逗點 INN (DDINN Hotel),"1,007"
Old School行旅 田中央旅店 (Central Land Hotel),"1,291"
葉綠宿站前館-川閱 (Green Hotel - Midori),"1,259"
水雲端旗艦概念旅館 (Icloud Luxury Resort and Hotel),"2,044"
houseday,甚麼都沒有
博奇大飯店 (Palmer Hotel),677
禾淞津別邸 (Kashotsu Bettei),"1,828"
創意時尚飯店 (i-Deal Hotel),659
雲端商務旅館 (The Cloud Hotel),"1,190"
寶島53行館 (53 Hotel),"1,211"
享得道HOTEL (In Joy Hotel),"1,815"
新驛旅店台中車站店 (CityInn Plus Taichung Station Branch),"1,508"
給恰旅店 (Getcha Hostel),"1,212"
天月人文休閒汽車旅館 (Moonlight Motel),"1,711"
松鶴山水 (Songhe ShanShuei B&B),"慢了一步 NT$ 2,193"
承攜行旅-台中自由館 (Guide Hotel Taichung Ziyou),"1,041"
葉綠宿-茶覺旅 (Green Hotel-Tea Way),"1,144"
台中愛戀旅店 (Taichung Amour Hotel),818
Hotel 7 逢甲 (Hotel 7 Taichung),"1,494"
豐邑逢甲商旅 (La Vida Hotel),"2,781"
台中旭日文旅 (Raise Hotel Taichung),600
碧根逢甲酒店 (Taichung Fengjia Beacon Hotel),"1,858"
KUN Tour Hotel逢甲 (KUN Tour Hotel),"1,816"
台中李方艾美酒店 (Le Méridien Taichung),"3,723"
一中宿屋,"慢了一步 NT$ 1,307"
誠星青年旅館 (Star Hostel Taichung Parklane),"1,467"
御旅 Inn,667
旅巷自在輕旅 (Loosha Hostel),969
璞樹文旅 (Treeart Hotel),"1,988"
星漾商旅 - 台中一中館 (Stay Hotel),"1,157"
Feng Chia Hygge,562
台中輕行旅 (Hotel Leisure Taichung),864
企業家大飯店 (The Enterpriser Hotel),820
富比世大飯店 (Forbes hotel),480
一中小窩馨,580
小西城旅店 (Mini West Hotel),764
伊麗莎白酒店 (Hotel Elizabeth ),833
塔木德酒店Choice 台中一中館 (Talmud Hotel Yizhong),"1,489"
台中朝聖行旅 (Taichung Saint Hotel),584
台中一中街阿爾法 (Taichung Yizhong Street Alpha),530
